MUNID,VOTES,POSITION,NAMEOFCANDIDATE,WARD,INCUMBENT,ELECTED,ACCLAIMED
1002,358,MAYOR,MAYOR 358,,1,yes,yes
1009,40,MAYOR,MAYOR 40,,1,no,no
1016,314,MAYOR,MAYOR 314,,0,no,no
1026,803,MAYOR,MAYOR 803,,0,yes,yes
1037,200,MAYOR,MAYOR 200,,0,no,no
1047,821,MAYOR,MAYOR 821,,0,yes,yes
2001,569,MAYOR,MAYOR 569,,1,yes,yes
2005,844,MAYOR,MAYOR 844,,1,yes,yes
2008,688,MAYOR,MAYOR 688,,1,yes,yes
2011,949,MAYOR,MAYOR 949,,1,yes,yes
2030,12,MAYOR,MAYOR 12,,0,yes,yes
2036,854,MAYOR,MAYOR 854,,1,no,yes
2044,673,MAYOR,MAYOR 673,,0,yes,yes
2048,544,MAYOR,MAYOR 544,,1,yes,yes
7003,986,MAYOR,MAYOR 986,,1,yes,yes
7006,732,MAYOR,MAYOR 732,,1,yes,yes
7011,462,MAYOR,MAYOR 462,,1,no,yes
7017,276,MAYOR,MAYOR 276,,0,yes,yes
7019,370,MAYOR,MAYOR 370,,1,no,yes
7030,457,MAYOR,MAYOR 457,,1,no,no
7033,811,MAYOR,MAYOR 811,,1,yes,yes
7040,693,MAYOR,MAYOR 693,,1,yes,yes
7050,157,MAYOR,MAYOR 157,,1,yes,yes
7055,174,MAYOR,MAYOR 174,,1,yes,yes
9001,393,MAYOR,MAYOR 393,,0,yes,yes
9007,750,MAYOR,MAYOR 750,,0,yes,yes
9010,29,MAYOR,MAYOR 29,,0,no,yes
9021,933,MAYOR,MAYOR 933,,0,no,yes
9024,60,MAYOR,MAYOR 60,,0,yes,yes
9028,217,MAYOR,MAYOR 217,,0,no,yes
9030,740,MAYOR,MAYOR 740,,0,no,yes
9033,256,MAYOR,MAYOR 256,,1,yes,yes
10002,435,MAYOR,MAYOR 435,,1,no,no
10013,122,MAYOR,MAYOR 122,,1,yes,yes
10025,835,MAYOR,MAYOR 835,,0,yes,yes
10041,362,MAYOR,MAYOR 362,,0,no,no
11002,135,MAYOR,MAYOR 135,,1,yes,yes
11010,884,MAYOR,MAYOR 884,,0,yes,yes
11023,688,MAYOR,MAYOR 688,,0,yes,yes
11033,490,MAYOR,MAYOR 490,,0,yes,yes
12001,129,MAYOR,MAYOR 129,,1,no,no
12002,338,MAYOR,MAYOR 338,,1,yes,yes
12017,827,MAYOR,MAYOR 827,,0,yes,yes
12023,84,MAYOR,MAYOR 84,,0,yes,yes
12027,815,MAYOR,MAYOR 815,,0,yes,yes
12036,813,MAYOR,MAYOR 813,,1,yes,yes
12039,825,MAYOR,MAYOR 825,,1,no,no
12048,631,MAYOR,MAYOR 631,,0,no,no
12051,856,MAYOR,MAYOR 856,,0,no,no
12054,166,MAYOR,MAYOR 166,,1,yes,yes
12058,540,MAYOR,MAYOR 540,,1,no,no
12061,363,MAYOR,MAYOR 363,,1,no,yes
12067,217,MAYOR,MAYOR 217,,1,no,yes
12073,331,MAYOR,MAYOR 331,,0,no,no
14005,903,MAYOR,MAYOR 903,,1,no,no
14010,50,MAYOR,MAYOR 50,,0,no,yes
14015,662,MAYOR,MAYOR 662,,0,yes,yes
14019,616,MAYOR,MAYOR 616,,1,yes,yes
14021,107,MAYOR,MAYOR 107,,0,yes,yes
14022,437,MAYOR,MAYOR 437,,0,yes,yes
14028,367,MAYOR,MAYOR 367,,0,yes,yes
15002,703,MAYOR,MAYOR 703,,0,no,yes
15005,178,MAYOR,MAYOR 178,,0,yes,yes
15012,111,MAYOR,MAYOR 111,,0,yes,yes
15017,342,MAYOR,MAYOR 342,,1,no,no
15021,281,MAYOR,MAYOR 281,,1,no,no
15030,651,MAYOR,MAYOR 651,,1,yes,yes
15035,186,MAYOR,MAYOR 186,,0,yes,yes
15041,386,MAYOR,MAYOR 386,,1,yes,yes
18001,937,MAYOR,MAYOR 937,,0,no,no
18005,111,MAYOR,MAYOR 111,,1,yes,yes
18009,192,MAYOR,MAYOR 192,,0,no,no
18013,847,MAYOR,MAYOR 847,,1,yes,yes
18017,864,MAYOR,MAYOR 864,,0,yes,yes
18020,145,MAYOR,MAYOR 145,,0,yes,yes
18029,174,MAYOR,MAYOR 174,,0,yes,yes
18039,963,MAYOR,MAYOR 963,,1,no,no
19028,202,MAYOR,MAYOR 202,,1,no,no
19036,298,MAYOR,MAYOR 298,,0,yes,yes
19038,888,MAYOR,MAYOR 888,,0,no,no
19044,945,MAYOR,MAYOR 945,,0,no,no
19046,34,MAYOR,MAYOR 34,,0,no,yes
19048,800,MAYOR,MAYOR 800,,1,yes,yes
19049,1000,MAYOR,MAYOR 1000,,1,yes,yes
19054,350,MAYOR,MAYOR 350,,0,yes,yes
19070,924,MAYOR,MAYOR 924,,0,no,no
21005,314,MAYOR,MAYOR 314,,1,no,no
21010,23,MAYOR,MAYOR 23,,0,yes,yes
21024,194,MAYOR,MAYOR 194,,0,no,yes
22001,736,MAYOR,MAYOR 736,,1,yes,yes
22005,533,MAYOR,MAYOR 533,,1,no,yes
22008,54,MAYOR,MAYOR 54,,1,yes,yes
22012,507,MAYOR,MAYOR 507,,0,yes,yes
22014,680,MAYOR,MAYOR 680,,1,no,yes
22016,355,MAYOR,MAYOR 355,,0,yes,yes
22019,743,MAYOR,MAYOR 743,,0,yes,yes
22021,207,MAYOR,MAYOR 207,,1,yes,yes
23001,731,MAYOR,MAYOR 731,,0,yes,yes
23005,140,MAYOR,MAYOR 140,,0,yes,yes
23010,938,MAYOR,MAYOR 938,,0,yes,yes
23015,33,MAYOR,MAYOR 33,,1,yes,yes
23020,184,MAYOR,MAYOR 184,,0,yes,yes
23023,398,MAYOR,MAYOR 398,,1,no,no
23040,312,MAYOR,MAYOR 312,,1,yes,yes
24001,666,MAYOR,MAYOR 666,,0,no,yes
24002,520,MAYOR,MAYOR 520,,1,yes,yes
24009,630,MAYOR,MAYOR 630,,0,no,yes
24015,23,MAYOR,MAYOR 23,,0,no,yes
26003,877,MAYOR,MAYOR 877,,1,no,yes
26011,638,MAYOR,MAYOR 638,,1,yes,yes
26014,270,MAYOR,MAYOR 270,,1,no,no
26021,839,MAYOR,MAYOR 839,,0,yes,yes
26028,281,MAYOR,MAYOR 281,,1,no,yes
26032,516,MAYOR,MAYOR 516,,1,no,no
26037,712,MAYOR,MAYOR 712,,1,yes,yes
26043,598,MAYOR,MAYOR 598,,0,no,yes
26047,315,MAYOR,MAYOR 315,,0,no,yes
26053,566,MAYOR,MAYOR 566,,0,no,no
26057,975,MAYOR,MAYOR 975,,1,yes,yes
26065,683,MAYOR,MAYOR 683,,1,no,no
30001,288,MAYOR,MAYOR 288,,0,yes,yes
30006,783,MAYOR,MAYOR 783,,1,yes,yes
30012,515,MAYOR,MAYOR 515,,0,yes,yes
30016,478,MAYOR,MAYOR 478,,1,yes,yes
30018,438,MAYOR,MAYOR 438,,1,no,yes
30024,595,MAYOR,MAYOR 595,,0,no,yes
